1,0,619
2,28,672
3,79,748
4,107,801
5,158,877
6,186,930
7,237,1006
8,265,1059
1,619,1238
3,748,1341
4,801,1394
5,877,1470
6,930,1523
7,1006,1599
8,1059,1652
1,1238,1857
3,1341,1934
4,1394,1987
5,1470,2063
6,1523,2213
7,1599,2289
8,1652,2342
1,1857,2476
3,1934,2549
4,1987,2602
5,2063,2678
2,2149,2764
6,2213,2853
7,2289,2929
8,2342,2982
1,2476,3095
3,2549,3168
4,2602,3221
5,2678,3297
2,2764,3383
6,2853,3472
7,2929,3548
8,2982,3601
1,3095,3714
3,3168,3787
4,3221,3840
5,3297,3916
2,3383,4002
6,3472,4091
7,3548,4167
8,3601,4220
1,3714,4333
3,3787,4406
4,3840,4459
5,3916,4535
2,4002,4621
6,4091,4710
7,4167,4786
8,4220,4839
1,4333,4952
3,4406,5025
4,4459,5078
5,4535,5154
2,4621,5240
6,4710,5329
7,4786,5405
8,4839,5458
1,4952,5571
3,5025,5644
4,5078,5697
5,5154,5773
2,5240,5859
6,5329,5948
7,5405,6024
8,5458,6077
1,5571,6190
3,5644,6263
4,5697,6316
2,5859,6455
6,5948,6557
7,6024,6633
8,6077,6686
1,6190,6809
3,6263,6882
4,6316,6935
2,6455,7051
6,6557,7166
7,6633,7242
8,6686,7295
1,6809,7428
3,6882,7501
4,6935,7622
2,7051,7698
6,7166,7787
7,7242,7863
8,7295,7916
1,7428,8047
3,7501,8120
5,7574,8193
4,7622,8266
2,7698,8342
6,7787,8431
7,7863,8507
8,7916,8560
1,8047,8666
3,8120,8739
5,8193,8812
4,8266,8885
2,8342,8961
6,8431,9050
7,8507,9126
8,8560,9179
1,8666,9285
3,8739,9358
5,8812,9431
4,8885,9504
2,8961,9580
6,9050,9669
7,9126,9745
8,9179,9798
1,9285,9904
3,9358,9977
5,9431,10050
4,9504,10123
2,9580,10199
6,9669,10288
7,9745,10364
8,9798,10417
1,9904,10523
3,9977,10596
5,10050,10669
4,10123,10742
2,10199,10818
6,10288,10907
7,10364,10983
8,10417,11036
1,10523,11142
3,10596,11215
5,10669,11288
4,10742,11361
2,10818,11437
6,10907,11526
7,10983,11602
8,11036,11655
1,11142,11761
3,11215,11834
5,11288,11907
4,11361,11980
2,11437,12056
6,11526,12145
7,11602,12221
8,11655,12274
1,11761,12380
3,11834,12453
5,11907,12526
4,11980,12599
2,12056,12675
6,12145,12764
7,12221,12840
8,12274,12893
1,12380,12999
3,12453,13072
5,12526,13145
4,12599,13218
2,12675,13294
6,12764,13383
7,12840,13459
8,12893,13512
1,12999,13618
3,13072,13691
5,13145,13764
4,13218,13837
2,13294,13913
6,13383,14002
7,13459,14078
8,13512,14131
1,13618,14237
3,13691,14310
5,13764,14383
4,13837,14456
2,13913,14532
6,14002,14621
7,14078,14697
8,14131,14750
1,14237,14856
3,14310,14929
5,14383,15002
4,14456,15075
2,14532,15151
6,14621,15240
7,14697,15316
8,14750,15369
1,14856,15475
3,14929,15548
5,15002,15621
4,15075,15694
2,15151,15770
6,15240,15859
7,15316,15935
8,15369,15988
3,15548,16154
5,15621,16227
4,15694,16300
2,15770,16376
6,15859,16468
7,15935,16544
8,15988,16597
3,16154,16760
5,16227,16833
4,16300,16906
2,16376,16982
6,16468,17077
7,16544,17153
8,16597,17206
3,16760,17366
5,16833,17439
4,16906,17512
2,16982,17588
6,17077,17686
7,17153,17762
8,17206,17935
3,17366,18024
5,17439,18097
4,17512,18170
2,17588,18246
6,17686,18335
7,17762,18411
1,17861,18510
8,17935,18609
3,18024,18698
5,18097,18827
4,18170,18751
2,18246,18913
6,18335,19002
7,18411,19078
1,18510,19177
8,18609,19276
3,18698,19365
4,18751,19418
5,18827,19494
2,18913,19580
6,19002,19669
7,19078,19745
1,19177,19844
8,19276,19943
3,19365,20032
4,19418,20085
5,19494,20161
2,19580,20247
6,19669,20336
7,19745,20412
1,19844,20511
8,19943,20610
3,20032,20699
4,20085,20752
5,20161,20828
2,20247,20914
6,20336,21003
7,20412,21079
1,20511,21178
8,20610,21277
3,20699,21366
4,20752,21419
5,20828,21495
2,20914,21581
6,21003,21670
7,21079,21746
1,21178,21845
8,21277,21944
3,21366,22033
4,21419,22086
5,21495,22162
2,21581,22248
6,21670,22337
7,21746,22413
1,21845,22512
8,21944,22611
3,22033,22700
4,22086,22753
5,22162,22829
2,22248,22915
7,22413,23032
1,22512,23131
8,22611,23233
3,22700,23322
4,22753,23375
5,22829,23451
2,22915,23537
7,23032,23651
1,23131,23750
8,23233,23855
3,23322,23944
4,23375,24121
5,23451,24048
2,23537,24197
7,23651,24299
1,23750,24398
8,23855,24497
3,23944,24586
6,24017,24712
5,24048,24659
4,24121,24788
2,24197,24864
7,24299,24966
1,24398,25065
8,24497,25164
3,24586,25253
5,24659,25326
6,24712,25379
4,24788,25455
2,24864,25531
7,24966,25633
1,25065,25732
8,25164,25831
3,25253,25920
5,25326,25993
6,25379,26046
4,25455,26122
2,25531,26198
7,25633,26300
1,25732,26399
8,25831,26498
3,25920,26587
5,25993,26660
6,26046,26713
4,26122,26789
2,26198,26865
7,26300,26967
1,26399,27066
8,26498,27165
3,26587,27254
5,26660,27327
6,26713,27380
4,26789,27456
2,26865,27532
7,26967,27634
1,27066,27733
8,27165,27832
3,27254,27921
5,27327,27994
6,27380,28047
4,27456,28123
2,27532,28199
7,27634,28301
1,27733,28400
8,27832,28499
3,27921,28588
5,27994,28661
6,28047,28714
4,28123,28790
