1,0,529,4,577,823
3,79,608,8,669,947
5,127,899,8,947,1193
6,155,1023,4,1074,1320
7,206,700,4,823,1074
1,529,1396,8,1470,1716
3,608,1130,8,1193,1470
7,700,1249,4,1320,1594
5,899,1546,4,1594,1840
3,1130,1650,8,1716,1990
7,1249,1772,4,1840,2114
1,1396,1916,8,1990,2236
5,1546,2066,4,2114,2360
3,1650,2170,8,2236,2510
7,1772,2292,4,2360,2634
1,1916,2436,8,2510,2756
5,2066,2586,4,2634,2880
3,2170,2690,8,2756,3030
7,2292,2812,4,2880,3154
1,2436,2956,8,3030,3276
5,2586,3106,4,3154,3400
3,2690,3210,8,3276,3550
7,2812,3332,4,3400,3674
1,2956,3476,8,3550,3796
5,3106,3626,4,3674,3920
3,3210,3730,8,3796,4070
7,3332,3852,4,3920,4194
1,3476,3996,8,4070,4316
5,3626,4146,4,4194,4440
3,3730,4250,8,4316,4590
7,3852,4372,4,4440,4714
1,3996,4516,8,4590,4836
5,4146,4666,4,4714,4960
3,4250,4770,8,4836,5110
7,4372,4892,4,4960,5234
1,4516,5036,8,5110,5356
5,4666,5186,4,5234,5480
3,4770,5290,8,5356,5630
7,4892,5412,4,5480,5754
1,5036,5556,8,5630,5876
5,5186,5706,4,5754,6000
3,5290,5810,8,5876,6150
7,5412,5932,4,6000,6274
1,5556,6076,8,6150,6396
5,5706,6226,4,6274,6520
3,5810,6330,8,6396,6670
7,5932,6452,4,6520,6794
1,6076,6596,8,6670,6916
5,6226,6746,4,6794,7040
3,6330,6850,8,6916,7190
7,6452,6972,4,7040,7314
1,6596,7116,8,7190,7436
5,6746,7266,4,7314,7560
3,6850,7370,8,7436,7710
7,6972,7492,4,7560,7834
1,7116,7636,8,7710,7956
5,7266,7786,4,7834,8080
3,7370,7890,8,7956,8230
7,7492,8012,4,8080,8354
1,7636,8156,8,8230,8476
5,7786,8306,4,8354,8600
3,7890,8410,8,8476,8750
7,8012,8532,4,8600,8874
1,8156,8676,8,8750,8996
5,8306,8826,4,8874,9120
3,8410,8930,8,8996,9270
7,8532,9052,4,9120,9394
1,8676,9196,8,9270,9516
5,8826,9346,4,9394,9640
3,8930,9450,8,9516,9790
7,9052,9572,4,9640,9914
1,9196,9716,8,9790,10036
5,9346,9866,4,9914,10160
3,9450,9970,8,10036,10310
7,9572,10092,4,10160,10434
1,9716,10236,8,10310,10556
5,9866,10386,4,10434,10680
3,9970,10490,8,10556,10830
7,10092,10612,4,10680,10954
1,10236,10756,8,10830,11076
5,10386,10906,4,10954,11200
3,10490,11010,8,11076,11350
7,10612,11132,4,11200,11474
1,10756,11276,8,11350,11596
5,10906,11426,4,11474,11720
3,11010,11530,8,11596,11870
7,11132,11652,4,11720,11994
1,11276,11796,8,11870,12116
5,11426,11946,4,11994,12240
3,11530,12050,8,12116,12390
7,11652,12172,4,12240,12514
1,11796,12316,8,12390,12636
5,11946,12466,4,12514,12760
3,12050,12570,8,12636,12910
7,12172,12692,4,12760,13034
1,12316,12836,8,12910,13156
5,12466,12986,4,13034,13280
3,12570,13090,8,13156,13430
7,12692,13212,4,13280,13554
1,12836,13356,8,13430,13676
5,12986,13506,4,13554,13800
3,13090,13610,8,13676,13950
7,13212,13732,4,13800,14074
1,13356,13876,8,13950,14196
5,13506,14026,4,14074,14320
3,13610,14130,8,14196,14470
7,13732,14252,4,14320,14594
1,13876,14396,8,14470,14716
5,14026,14546,4,14594,14840
3,14130,14650,8,14716,14990
7,14252,14772,4,14840,15114
1,14396,14916,8,14990,15236
5,14546,15066,4,15114,15360
3,14650,15170,8,15236,15510
7,14772,15292,4,15360,15634
1,14916,15436,8,15510,15756
5,15066,15586,4,15634,15880
